""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-2048-DD-O"	10451	6854	5781	5654	5654
"BS2-2048-HD-O"	15434	12205	12060	11896	11896
"BS2-2065-HH-O"	394	237	212	189	189
"BS2-2076-DD-O"	304147	294353	289353	258752	258752
"BS2-2076-HD-O"	64854	44601	44175	41668	41668
"BS2-2077-DD-O"	1043	374	259	234	234
"BS2-2077-HD-O"	374	315	306	299	299
"BS2-2078-DD-O"	4128	3692	3638	3563	3563
"BS2-2078-HD-O"	97025	82624	81564	80111	80111
"BS2-2079-DD-O"	21353	19730	19604	19385	19385
"BS2-2079-HD-O"	29042	24802	24404	23891	23891
"BS2-2080-DD-O"	6093	5601	5565	5444	5444
"BS2-2080-HD-O"	1019	591	527	478	478
"BS2-2091-DD-O"	293293	252196	250373	236925	236925
"BS2-2091-HD-O"	6932	6494	6480	6407	6407
"BS2-2149-DD-O"	18423	15496	15383	15165	15165
"BS2-2149-HD-O"	28212	10898	9596	8911	8911
"BS2-2150-HH-O"	26673	21705	21347	20683	20683
"BS2-2155-DD-O"	115825	96699	95946	92109	92109
"BS2-2155-HD-O"	19707	3972	3801	3526	3526
"BS2-2179-DD-O"	59923	52998	52857	52007	52007
"BS2-2179-HD-O"	19752	15300	15044	14827	14827
"BS2-2180-DD-O"	10183	9040	8953	8808	8808
"BS2-2180-HD-O"	5181	3429	3369	3307	3307
"BS2-2198-DD-O"	5454	4884	4744	4683	4683
"BS2-2198-HD-O"	1461	662	638	573	573
"BS2-2407-DD-O"	3313	2469	2298	2213	2213
"BS2-2407-HD-O"	9257	7241	7109	7040	7040
"BS2-2415-DD-O"	118814	107280	106492	99319	99319
"BS2-2415-HD-O"	53580	45604	45274	43784	43784
"BS2-2432-HH-O"	99342	91142	90337	89360	89360
"BS2-2433-DD-O"	14831	13012	12846	12789	12789
"BS2-2433-HD-O"	4717	3866	3821	3788	3788
"BS2-2453-DD-O"	6918	6381	6308	6275	6275
"BS2-2453-HD-O"	6582	3168	3058	2980	2980
"BS2-2460-DD-O"	8238	7564	7520	7501	7501
"BS2-2460-HD-O"	528	177	129	116	116
"BS2-2464-DD-O"	7929	7098	7032	6965	6965
"BS2-2464-HD-O"	18497	3142	2945	2802	2802
"BS2-2474-DD-O"	3234	2372	2226	2162	2162
"BS2-2474-HD-O"	38489	29294	29085	28399	28399
"BS2-2475-DD-O"	338601	321334	320076	307223	307223
"BS2-2475-HD-O"	11431	6323	6159	5972	5972
"BS2-2478-DD-O"	22782	20224	20163	19821	19821
"BS2-2478-HD-O"	1382	942	882	863	863
"BS2-2479-DD-O"	76140	60904	60135	56170	56170
"BS2-2479-HD-O"	13876	8683	7683	7568	7568
